Day;D 0;D 1000;D 1250;D 250;D 500;D 750;I 0;I 1000;I 1250;I 250;I 500;I 750
3;0;0;0;0;0;0;0;0;0;0;0;0
5;-5.40;845.60;1,176.30;47.60;308.1;817.7;-15.9;972.1;1172.8;251.3;495.3;771.2
6;-0.30;845.60;1,176.30;60.40;413.3;770.9;-2.2;971.7;1172.8;247.5;483.7;750.1
7;-12.70;886.00;1,139.60;199.90;458;668.7;-17.8;968.5;1090.2;214.2;450.6;735.3
9;-0.10;900.60;1,164.80;224.40;487;688.4;-9.1;977.1;1172.8;223;468.3;739.4
11;1.20;894.50;1,142.40;237.40;503.4;701.8;4.9;986.7;1172.8;240.7;487.2;751.9
13;17.00;896.70;1,131.90;232.20;502.6;688.5;3.4;984.1;1172.8;234.8;489.5;755.3
15;12.50;915.40;1,137.20;250.20;514.4;714.5;3.1;1006.5;1204.5;253.2;495.2;771.7
17;15.40;907.40;1,122.00;240.20;516.9;708.6;8;992.6;1186.9;248.5;493.1;772.3
19;10.10;887.10;1,075.00;253.20;503.1;701.5;1.4;991.6;1169.4;246.1;484.7;757
21;12.30;895.43;1,028.51;245.80;511.4;702.9;3.8;1001.428524;1177.240031;247.5;487.377416;757.3
23;19.70;897.30;945.10;250.10;519.8;715.1;12.2;1004.7;1149.9;254.9;487.78;772.4
25;21.54;894.42;877.19;250.67;514.88;707.42;12.94;1009.52;1091;254.08;493.42;774.11
27;24.54;888.10;686.37;250.04;519.89;712.19;17.29;1002.56;1021.36;251.32;499.02;759.55
29;28.00;889.60;560.38;256.24;523.37;721.41;9.29;1016.95;922.45;262.17;500.77;776.4
31;28.54;881.97;405.81;236.50;515.31;707.16;15.7;1012.73;812.59;258.23;499.1;765.18
33;21.80;873.30;339.40;249.30;527.2;718.3;23;1010.4;737.5;262.6;496.1;763.6
35;19.40;883.80;272.80;250.60;521;717.1;19;998.6;673.7;262.2;498.4;759
37;25.00;878.10;192.90;247.00;517.3;714.8;22.6;1018.4;579.7;265.2;499.2;760.3
39;26.00;880.50;124.30;259.60;516.9;719.5;28.4;1019;497;268.4;498.2;749
