	T0K10	T0K11	T0K12	T0K1	T0K2	T0K3	T0K4	T0K5	T0K6	T0K8	T0K9	T1K10	T1K11	T1K12	T1K1	T1K2	T1K4	T1K5	T1K6	T1K7	T1K8	T1K9	T2K10	T2K11	T2k1	T2K2	T2K3	T2K4	T2K5	T2K6	T2K7	T2K8	T2K9	T3K10	T3K11	T3K12	T3K1	T3K2	T3K3	T3K4	T3K5	T3K6	T3K7	T3K8	T3K9	T4K10	T4K11	T4K12	T4K1	T4K2	T4K3	T4K4	T4K5	T4K6	T4K8	T5K10	T5K11	T5K12	T5K1	T5K2	T5K3	T5K4	T5K5	T5K6	T5K8
ASV_1	117	813	994	499	504	324	142	576	903	565	297	248	28575	3494	1917	15665	5118	23056	94	704	7272	460	40136	3620	57178	6431	7601	19553	5204	39073	47627	16771	38587	38249	316	2150	28770	344	11665	13672	6445	22049	15465	506	15232	5068	50	66	30359	85	21150	5630	520	400	337	16144	26	503	1928	9	1888	1087	84	160	318
ASV_2	14	41	68	20	29	32	20	48	136	38	22	25	18280	6794	1029	16143	3301	11207	151	275	7525	35	19016	4549	512	8766	1145	3806	1636	25309	10752	3790	6995	3345	21462	5846	597	6747	5054	5361	20489	3051	471	934	738	81	5812	5593	86	18699	521	2220	26381	10	3719	408	900	10631	122	3968	397	2228	7674	6	1078
ASV_3	0	0	0	0	2	0	0	0	0	0	0	0	6	1	0	15	3	8	0	1	5	0	5	285	31	2166	183	240	1548	10	12	4675	2	12	19905	15512	77	41345	2999	372	13529	110	41	6870	10	411	5220	8336	7	29366	328	847	8843	17	1116	2334	752	1348	3	3383	72	2143	1051	14	174
ASV_4	3574	18590	16389	13763	14402	15305	9177	17530	11240	16522	8008	7	370	526	5471	98	425	99	51	152	818	2	0	0	51	102	33	27	2	2	1	57	0	0	0	3	5	1	2	3	3	0	0	29	0	0	0	3	0	0	0	0	2	0	1	0	0	1	0	1	1	0	0	0	3
ASV_5	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	7	2	3	0	0	0	15	0	10	4	418	26	3	2	146	516	1	2	553	1	5020	882	1728	187	2416	2297	291	5444	59539	3864	544	56	34	17	73	1373	414	368	28751	786
ASV_6	18	107	95	67	59	36	21	89	74	60	33	251	6535	388	842	4659	1927	9386	262	612	1460	241	824	1571	605	3715	397	576	2435	2259	1285	3332	488	2534	54	50	3809	132	409	579	70	2573	2977	147	2282	1021	10	691	8983	127	6970	3740	99	192	5441	5667	212	27	605	24	1239	1462	63	79	3150
ASV_7	1130	3249	3439	4982	5095	5447	3937	3255	2977	3167	2691	28	1495	327	640	128	258	693	37	226	354	41	1	13	3205	113	111	896	11	2	4	294	0	6	2	67	4598	1	68	1226	89	5	10	629	4	5	0	82	17371	6	158	706	7	5	3015	42	69	1	5499	13	956	3215	25	4	8271
ASV_8	245	1493	1875	1413	1447	1611	961	1082	2339	1113	885	6747	5793	572	7058	824	2126	641	3375	29297	3948	13486	0	1	1	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_9	237	1096	1065	1129	1036	1253	575	772	1802	790	706	10633	1731	734	5709	236	4315	433	3556	13176	5753	11814	18	179	999	453	10089	2731	69	2	7	3675	3	0	59	7	12	13	63	12	13	0	0	262	1	2	2	1	0	6	4	0	2	2	17	1	0	8	1	0	7	3	0	1	6
ASV_10	29462	691	390	102	112	163	72	271	324	346	42973	363	106	134	267	93	254	275	68	118	341	640	8	13	7	39	1	5	5	0	0	32	5	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ASV_11	2630	11893	9041	5803	5911	6622	3838	9618	4316	8761	4176	11	72	137	698	32	43	15	32	116	122	16	0	0	6	0	0	0	0	0	0	6	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	5	1	6	1	2	0	1	0	100	0	193	20	12	130	0	0	31	0	0	4283	564	2	1039	13	7	407	0	1	53	0	36	14798	6462	0	15333	25	45	731	4	2010	298	2919	9415	7	12151	71	654	275	8	1462
ASV_13	1	17	9	4	6	3	2	7	19	4	2	0	201	19	51	178	36	245	3	14	55	0	1	110	169	1223	67	218	128	1	1	1065	0	3	4	425	1384	18	232	5389	376	661	59	984	2	88	2	815	7043	68	11633	1087	315	32	10942	4468	772	164	566	146	8334	54	1022	22	3935
ASV_14	107	406	392	444	503	432	256	377	800	313	172	7605	400	490	4464	385	4095	1953	3746	18209	2312	11260	9	6	78	60	159	110	66	2	12	93	1	2	4	5	9	3	1	2	5	2	4	7	7	0	0	13	0	0	3	0	0	18	9	0	1	0	0	0	7	7	0	5	3
ASV_15	4	39	52	23	25	17	11	31	31	26	17	31	1882	273	264	966	484	1723	17	80	527	48	4666	355	10859	632	1529	3831	837	3982	5048	3578	3957	2300	59	343	532	119	389	274	1069	1970	1084	58	1112	25	2	5	49	14	47	27	30	14	9	33	1	4	7	1	2	2	3	3	0
ASV_16	1001	3011	3044	4814	4870	5139	3724	3166	3002	2953	2476	18	1372	279	454	135	188	620	26	143	265	25	1	5	1459	33	37	373	3	2	6	98	1	1	2	18	1345	0	16	357	13	1	4	153	3	2	0	11	3755	1	20	177	0	2	620	11	11	0	1318	2	113	1040	8	2	1692
ASV_17	25	122	136	57	56	40	15	88	118	79	41	44	3480	356	172	1856	596	2444	18	168	786	77	3648	255	1041	503	434	1152	299	4102	6147	929	3797	3106	9	60	1725	5	856	602	119	2172	1842	17	1238	370	0	2	1224	3	1184	213	12	27	4	1249	1	51	86	1	140	11	3	4	0
ASV_18	650	3346	3644	2580	2323	1469	821	2821	2434	2268	1265	532	742	147	1472	602	963	1030	318	757	813	758	87	22	34	22	0	20	3	188	59	54	174	132	0	0	17	0	0	5	0	364	38	2	221	29	1	0	44	1	18	23	0	58	11	260	0	0	6	5	35	6	0	10	13
ASV_19	1	1	8	7	13	17	5	4	20	7	12	208	181	18	86	31	100	243	49	294	70	256	0	8330	52	4238	238	25	1124	1	0	36	0	0	11553	45	0	686	0	0	1004	0	0	7	0	0	407	8	0	275	1	0	71	0	2	0	0	674	1	62	1	0	10	0	0
ASV_20	1	4	1	2	1	3	1	5	0	1	1	187	461	175	72	675	126	479	34	74	219	105	348	963	315	701	1138	368	1068	265	488	452	261	239	1187	49	1056	43	1288	350	1456	94	643	244	1496	2719	507	341	118	74	525	262	1227	1543	1320	811	63	116	27	37	266	643	103	1235	380
ASV_21	0	0	1	0	0	0	0	1	0	2	0	2	2	0	1	1	0	1	1	2	0	1	0	16	1	28	10	1	11	0	0	12	0	0	32	33	6	21	9	13	102	0	0	34	0	3	1159	1816	20	439	425	127	744	0	2516	19	1557	3199	72	888	2717	6263	2304	1	3624
ASV_22	31	124	117	68	71	84	56	167	217	126	39	44	361	140	1277	468	929	924	53	164	540	60	27	158	2090	693	596	1648	65	7	10	853	19	42	14	254	3250	33	48	1971	685	6	13	1275	10	0	5	42	2103	46	556	1139	412	0	518	87	30	20	726	28	700	246	218	0	381
ASV_23	0	0	0	0	1	0	0	0	0	0	1	2	25	6	3	23	6	31	0	2	9	0	0	209	1	531	39	40	262	2	4	346	2	0	166	538	4	653	41	86	458	1	1	249	2	8	2204	5357	13	2214	1564	236	2785	1	4206	52	298	2121	1	263	658	24	245	1	429
ASV_24	691	3539	2755	1805	1787	2176	1215	3750	2051	2695	1231	0	12	57	518	17	32	40	6	29	64	0	0	0	18	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	6	6	2	2	1	1	4	2	2	2	26	1	2	42	3	26	20	15	53	11	29	23	5	631	20	2428	1110	227	7	27	1996	10	8	29	272	286	4	384	566	115	6	15	2104	22	4	6	326	17	19	67	1275	147	32	1274	10	52	14	20	9	65	9527	59	21	603
ASV_26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	1	0	0	4	15	0	7	3	1	1	0	1	3	0	0	129	165	0	5420	0	1	11	0	38	1	84	1204	7	13778	5	1160	31	7	278
ASV_27	7	35	25	25	16	28	12	24	87	25	13	32	14	4	18	1	5	8	10	50	12	65	21	0	57	9	53	85	0	5	23	207	0	7	3	137	39	0	5	34	64	1	0	146	3	50	10	232	85	23	50	65	32	38	357	564	24	9	164	12	190	15526	19	61	1145
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	1	15	2	2	10	0	0	4	0	0	873	85	0	188	2	1	73	0	0	4	0	0	6188	989	0	2626	0	0	188	0	195	3	523	4956	4	2708	0	4	87	1	137
ASV_29	0	1	3	0	0	0	0	0	4	1	0	1	0	0	11	0	8	4	0	4	5	1	1	1	19	1	41	220	39	13	8	629	3	1	2	2990	30	6	112	2206	92	241	25	9696	6	6	0	131	16	3	417	506	66	19	507	35	4	0	13	2	657	149	27	28	254
ASV_30	0	2	4	0	0	1	0	0	4	0	0	9	0	0	4	0	3	0	2	3	3	1	83	0	205	1	288	405	0	190	228	741	23	55	3	1	546	0	6128	1416	4	753	396	166	76	550	8	0	26	8	46	1953	1	0	7	2940	3	17	9	4	26	806	3	2	2
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	4	36	4	0	1	13	9	0	0	56	0	717	147	329	30	496	513	47	859	7628	782	60	12	4	3	17	321	87	70	3394	150
ASV_32	298	1326	1554	1286	1604	1270	551	1264	1435	1225	664	43	210	23	501	76	122	106	48	322	53	167	5	5	6	22	2	0	3	30	30	3	29	22	0	0	6	0	6	2	0	207	52	2	78	6	2	0	1	1	26	0	0	28	6	24	0	0	3	1	18	12	0	17	2
ASV_33	25	128	108	165	185	181	116	98	132	93	66	1708	193	172	357	52	621	247	368	2836	649	2367	2	886	17	1423	88	70	411	0	0	16	0	0	90	1	0	3	1	0	7	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
ASV_34	0	11	10	5	4	1	4	17	36	7	8	5	135	18	42	204	33	220	2	6	33	3	25	69	353	553	92	80	37	16	19	415	13	21	7	664	74	36	50	684	344	27	8	133	2	0	1	121	57	79	134	4755	1763	0	24	19	3	112	17	10	126	758	1359	1	8
ASV_35	0	1	1	1	0	1	0	3	8	2	0	2	5	0	2	0	0	2	1	2	1	4	1	2	4	5	3	11	13	6	6	27	1	0	23	71	10	5	6	16	88	0	3	206	2	26	4	3702	0	71	0	37	268	16	4788	10	2305	2	0	64	6	230	69	25	1498
ASV_36	0	0	4	0	1	1	0	1	1	0	0	31	5	21	53	62	67	32	16	59	49	41	434	5	52	38	25	41	16	1359	1112	106	531	907	34	4	261	3	45	26	43	935	1212	16	1669	267	67	20	33	12	20	18	32	2240	37	231	1	17	5	3	2	46	5	1074	10
ASV_37	1	0	0	2	0	0	0	1	4	0	0	11	0	0	5	3	5	3	4	8	9	19	297	0	60	2	26	61	3	2421	338	48	197	76	0	3	246	0	43	106	0	345	136	12	662	304	35	35	75	2	31	491	6	1270	369	307	12	13	17	1	18	701	3	4200	119
