Chla_ng/l	Sample
1008,0177	T0K1
993,4273	T0K2
927,5335	T0K3
955,9091	T0K4
1051,6942	T0K5
934,4971	T0K6
990,3955	T0K7
943,8293	T0K8
842,9281	T0K9
969,9310	T0K10
1016,6867	T0K11
969,9310	T0K12
10219,5437	T1K1
1262,2604	T1K2
6985,2086	T1K3
6144,0807	T1K4
1982,4016	T1K5
5996,8027	T1K6
6261,7988	T1K7
4416,9166	T1K8
0,0000	T1K9
5059,5107	T1K10
859,7450	T1K11
2582,6930	T1K12
1873,0682	T2K1
2393,0649	T2K2
2568,5052	T2K3
3601,0376	T2K4
6431,1045	T2K5
76,8129	T2K6
1573,2778	T2K7
4136,9512	T2K8
1385,3315	T2K9
2148,5571	T2K10
4374,8507	T2K11
6406,5897	T2K12
2140,7408	T3K1
5526,8303	T3K2
2134,0614	T3K3
1183,1737	T3K4
4405,2632	T3K5
1752,6973	T3K6
2037,5657	T3K7
2258,5536	T3K8
1701,1098	T3K9
1220,5498	T3K10
6905,0561	T3K11
3168,7966	T3K12
553,4647	T4K1
2758,7964	T4K2
1728,3247	T4K3
823,1979	T4K4
2642,4047	T4K5
4460,1904	T4K6
2293,5848	T4K7
784,9691	T4K8
2553,4411	T4K9
805,4336	T4K10
3632,3739	T4K11
1086,1806	T4K12
1136,9155	T5K1
1253,5914	T5K2
1597,5083	T5K3
907,9691	T5K4
1501,5100	T5K5
2248,0372	T5K6
832,2221	T5K7
590,6275855	T5K8
1583,012674	T5K9
424,2826411	T5K10
1617,546482	T5K11
520,8493986	T5K12
